Sex,Sleep,PickQRS,Height,PickNum,mph,Network,Classes,Study,Money
M,4,R,71,1,60,Facebook,5,2,430
M,6,R,74,7,115,Other,4,2,300
F,5.5,S,66,7,88,Facebook,5,1.5,200
F,3,R,69,7,103,Instagram,4,3,350
F,8,r,60,7,85,Instagram,4,4,250
F,8,Q,60,7,80,Snapchat,4,1.5,250
F,10,R,66,7,80,Snapchat,4,4,332
M,8,S,71,7,100,Snapchat,4,2,370
F,8,R,66,4,75,Instagram,4,2,300
F,9,Q,64,7,82,Snapchat,4,3,500
F,5,S,66,7,85,Snapchat,4,1,400
F,5,R,60,7,90,Twitter,4,3,400
M,7,Q,71,4,120,Snapchat,4,2,200
M,4.5,S,72,1,135,Facebook,4,3,60
F,10,S,60,7,70,Snapchat,4,2,500
F,7,R,67,6,90,Twitter,8,1,200
M,6.5,S,69,5,85,Instagram,5,3,300
F,8,R,60,5,85,Instagram,4,1,300
F,8,R,62,2,65,Instagram,4,2,180
M,7,R,73,8,130,Snapchat,4,2,270
F,5,Q,62,2,104,Snapchat,4,2,300
M,4,R,69,7,111,Twitter,4,3,400
F,6,S,62,9,80,Snapchat,4,3,250
F,8,S,60,8,65,Instagram,5,2,300
M,5,Q,65,7,102,Snapchat,4,0.5,125
M,6,R,67,7,100,Instagram,4,0.5,200
F,5,S,62,7,100,Instagram,5,2,350
M,8.5,S,71,2,102,Twitter,4,2,200
F,5.5,S,66,7,80,Snapchat,5,2,300
M,7,Q,60,7,83,Other,4,0,300
F,9,Q,61,7,110,Snapchat,4,2,500
M,5.5,S,66,9,50,Snapchat,6,2,250
